gametora_id,outfit_id,uma_name,outfit_name
1143,01,Victoire Pisa,Original
1137,01,Kiseki,Original
1136,01,Red Desire,Original
1135,01,Stay Gold,Original
1134,01,Curren Bouquetd'or,Original
1133,01,Chrono Genesis,Original
1132,02,Loves Only You,Beyond Dreams
1132,01,Loves Only You,Original
1131,01,Gran Alegria,Original
1130,01,Lucky Lilac,Original
1129,01,Almond Eye,Original
1127,01,Fenomeno,Original
1124,02,Bubble Gum Fellow,New Year
1124,01,Bubble Gum Fellow,Original
1121,01,Durandal,Original
1120,01,Calstone Light O,Original
1119,02,Dream Journey,Christmas
1119,01,Dream Journey,Original
1118,01,Admire Groove,Original
1117,01,Win Variation,Original
1116,02,Gentildonna,Wedding
1116,01,Gentildonna,Original
1115,01,Orfevre,Original
1114,01,Buena Vista,Original
1113,01,Fusaichi Pandora,Original
1112,01,Daring Heart,Original
1111,01,Air Messiah,Original
1110,02,Cesario,Wedding
1110,01,Cesario,Original
1109,02,Rhein Kraft,Alt Version
1109,01,Rhein Kraft,Original
1108,01,Duramente,Original
1107,02,Tap Dance City,Ballroom
1107,01,Tap Dance City,Original
1106,02,Hishi Miracle,Alt Version
1106,01,Hishi Miracle,Original
1105,02,Neo Universe,Autumn
1105,01,Neo Universe,Original
1104,02,Katsuragi Ace,New Year
1104,01,Katsuragi Ace,Original
1103,01,Royce and Royce,Original
1102,02,Sounds of Earth,Valentine
1102,01,Sounds of Earth,Original
1100,02,Wonder Acute,Onsen
1100,01,Wonder Acute,Original
1099,02,Hokko Tarumae,Summer Trip
1099,01,Hokko Tarumae,Original
1098,02,Copano Rickey,Parade
1098,01,Copano Rickey,Original
1097,01,Still in Love,Original
1096,01,No Reason,Original
1095,01,Believe,Original
1094,02,Jungle Pocket,Cheerleader
1094,01,Jungle Pocket,Original
1093,02,K.S.Miracle,Alt Version
1093,01,K.S.Miracle,Original
1092,01,Dantsu Flame,Original
1091,02,Vivlos,Summer
1091,01,Vivlos,Original
1090,01,Verxina,Original
1089,02,Cheval Grand,Summer
1089,01,Cheval Grand,Original
1088,02,Satono Crown,Summer
1088,01,Satono Crown,Original
1087,02,Aston Machan,Valentine
1087,01,Aston Machan,Original
1086,02,Mejiro Ramonu,Wedding
1086,01,Mejiro Ramonu,Original
1085,02,Daiichi Ruby,Ballroom
1085,01,Daiichi Ruby,Original
1084,02,Tanino Gimlet,Ballroom
1084,01,Tanino Gimlet,Original
1083,02,Symboli Kris S,Halloween
1083,01,Symboli Kris S,Original
1082,02,North Flight,Ballroom
1082,01,North Flight,Original
1081,01,Espoir City,Original
1080,02,Transcend,Onsen
1080,01,Transcend,Original
1079,01,Furioso,Original
1078,02,Yamanin Zephyr,Valentine
1078,01,Yamanin Zephyr,Original
1077,03,Narita Top Road,Tracen-ken
1077,02,Narita Top Road,Christmas
1077,01,Narita Top Road,Original
1076,02,Sakura Laurel,New Year
1076,01,Sakura Laurel,Original
1074,02,Mejiro Bright,Christmas
1074,01,Mejiro Bright,Original
1073,01,Tsurumaru Tsuyoshi,Original
1072,02,Yaeno Muteki,Warfare
1072,01,Yaeno Muteki,Original
1071,02,Mejiro Ardan,Ballroom
1071,01,Mejiro Ardan,Original
1070,02,Sirius Symboli,The Twinkle Legends
1070,01,Sirius Symboli,Original
1069,02,Sakura Chiyono O,Ballroom
1069,01,Sakura Chiyono O,Original
1068,03,Kitasan Black,Anime Collab
1068,02,Kitasan Black,New Year
1068,01,Kitasan Black,Original
1067,03,Satono Diamond,Project L'Arc
1067,02,Satono Diamond,New Year
1067,01,Satono Diamond,Original
1066,01,Twin Turbo,Original
1065,02,Daitaku Helios,Ballroom
1065,01,Daitaku Helios,Original
1064,02,Mejiro Palmer,Christmas
1064,01,Mejiro Palmer,Original
1063,02,Ikuno Dictus,New Year
1063,01,Ikuno Dictus,Original
1062,02,Matikanetannhauser,Sports Festival
1062,01,Matikanetannhauser,Original
1061,03,King Halo,Wedding
1061,02,King Halo,Cheerleader
1061,01,King Halo,Original
1060,03,Nice Nature,New Year
1060,02,Nice Nature,Cheerleader
1060,01,Nice Nature,Original
1059,02,Mejiro Dober,Camping
1059,01,Mejiro Dober,Original
1058,02,Meisho Doto,Halloween
1058,01,Meisho Doto,Original
1057,02,Mr. C.B.,New Year
1057,01,Mr. C.B.,Original
1056,02,Matikanefukukitaru,Full Armor
1056,01,Matikanefukukitaru,Original
1055,02,Marvelous Sunday,Halloween
1055,01,Marvelous Sunday,Original
1054,01,Biko Pegasus,Original
1053,02,Bamboo Memory,Summer Trip
1053,01,Bamboo Memory,Original
1052,02,Haru Urara,New Year
1052,01,Haru Urara,Original
1051,02,Nishino Flower,Wedding
1051,01,Nishino Flower,Original
1050,03,Narita Taishin,Mecha
1050,02,Narita Taishin,Steampunk
1050,01,Narita Taishin,Original
1049,02,Nakayama Festa,Christmas
1049,01,Nakayama Festa,Original
1048,03,Tosen Jordan,Halloween
1048,02,Tosen Jordan,Summer Trip
1048,01,Tosen Jordan,Original
1047,02,Zenno Rob Roy,Autumn
1047,01,Zenno Rob Roy,Original
1046,03,Smart Falcon,Parade
1046,02,Smart Falcon,Grand Live
1046,01,Smart Falcon,Original
1045,03,Super Creek,Warfare
1045,02,Super Creek,Halloween
1045,01,Super Creek,Original
1044,02,Sweep Tosho,Wedding
1044,01,Sweep Tosho,Original
1043,01,Shinko Windy,Original
1042,02,Seeking the Pearl,Halloween
1042,01,Seeking the Pearl,Original
1041,03,Sakura Bakushin O,Ballroom
1041,02,Sakura Bakushin O,Sports Festival
1041,01,Sakura Bakushin O,Original
1040,03,Gold City,Deserted Island
1040,02,Gold City,Festival
1040,01,Gold City,Original
1039,02,Kawakami Princess,Festival
1039,01,Kawakami Princess,Original
1038,02,Curren Chan,Wedding
1038,01,Curren Chan,Original
1037,03,Eishin Flash,Summer Trip
1037,02,Eishin Flash,Valentine
1037,01,Eishin Flash,Original
1036,02,Air Shakur,Halloween
1036,01,Air Shakur,Original
1035,03,Winning Ticket,U.A.F.
1035,02,Winning Ticket,Steampunk
1035,01,Winning Ticket,Original
1034,02,Inari One,Festival
1034,01,Inari One,Original
1033,02,Admire Vega,Christmas
1033,01,Admire Vega,Original
1032,03,Agnes Tachyon,Alt Version
1032,02,Agnes Tachyon,Summer
1032,01,Agnes Tachyon,Original
1031,03,Ines Fujin,Deserted Island
1031,02,Ines Fujin,Valentine
1031,01,Ines Fujin,Original
1030,03,Rice Shower,Great Food Festival
1030,02,Rice Shower,Halloween
1030,01,Rice Shower,Original
1029,02,Yukino Bijin,Valentine
1029,01,Yukino Bijin,Original
1028,02,Hishi Akebono,Halloween
1028,01,Hishi Akebono,Original
1027,02,Mejiro Ryan,Valentine
1027,01,Mejiro Ryan,Original
1026,02,Mihono Bourbon,Valentine
1026,01,Mihono Bourbon,Original
1025,03,Manhattan Cafe,Wedding
1025,02,Manhattan Cafe,Valentine
1025,01,Manhattan Cafe,Original
1024,03,Mayano Top Gun,Halloween
1024,02,Mayano Top Gun,Wedding
1024,01,Mayano Top Gun,Original
1023,03,Biwa Hayahide,Mecha
1023,02,Biwa Hayahide,Christmas
1023,01,Biwa Hayahide,Original
1022,03,Fine Motion,Tracen-ken
1022,02,Fine Motion,Wedding
1022,01,Fine Motion,Original
1021,02,Tamamo Cross,Festival
1021,01,Tamamo Cross,Original
1020,02,Seiun Sky,Ballroom
1020,01,Seiun Sky,Original
1019,02,Agnes Digital,Halloween
1019,01,Agnes Digital,Original
1018,02,Air Groove,Wedding
1018,01,Air Groove,Original
1017,02,Symboli Rudolf,Festival
1017,01,Symboli Rudolf,Original
1016,02,Narita Brian,Blaze
1016,01,Narita Brian,Original
1015,02,TM Opera O,New Year
1015,01,TM Opera O,Original
1014,02,El Condor Pasa,Fantasy
1014,01,El Condor Pasa,Original
1013,03,Mejiro McQueen,Summer
1013,02,Mejiro McQueen,Anime Collab
1013,01,Mejiro McQueen,Original
1012,02,Hishi Amazon,Wedding
1012,01,Hishi Amazon,Original
1011,03,Grass Wonder,New Year
1011,02,Grass Wonder,Fantasy
1011,01,Grass Wonder,Original
1010,03,Taiki Shuttle,Valentine
1010,02,Taiki Shuttle,Camping
1010,01,Taiki Shuttle,Original
1009,02,Daiwa Scarlet,Christmas
1009,01,Daiwa Scarlet,Original
1008,02,Vodka,Christmas
1008,01,Vodka,Original
1007,03,Gold Ship,Project L'Arc
1007,02,Gold Ship,Summer
1007,01,Gold Ship,Original
1006,03,Oguri Cap,Anime Collab
1006,02,Oguri Cap,Christmas
1006,01,Oguri Cap,Original
1005,03,Fuji Kiseki,Cheerleader
1005,02,Fuji Kiseki,Ballroom
1005,01,Fuji Kiseki,Original
1004,03,Maruzensky,New Year
1004,02,Maruzensky,Summer
1004,01,Maruzensky,Original
1003,03,Tokai Teio,Festival
1003,02,Tokai Teio,Anime Collab
1003,01,Tokai Teio,Original
1002,02,Silence Suzuka,Summer
1002,01,Silence Suzuka,Original
1001,03,Special Week,Commander
1001,02,Special Week,Summer
1001,01,Special Week,Original
